t_s,Tm_J1,P_J1,Tm_J2,P_J2,Tm_TWIST,P_TWIST,Tm_ELBOW,P_ELBOW,Tm_ROLL,P_ROLL,Tm_PITCH,P_PITCH,Tm_YAW,P_YAW,Ts_humerus_u,Ts_forearm_u,Ts_humerus_l,Ts_forearm_l,Ts_wrist,Ts_hand,T_amb,T_torso
118.0,43.68715170430798,10.81961576003304,38.68525339852368,7.721463029202396,39.47217320454554,13.064682731248144,40.27835817167676,12.278188768980218,47.24138961760742,11.94390934048629,49.668094203403385,8.73797907895488,53.11135284854347,10.871580084072434,25.5,26.005049997575,26.25,27.855049997575,42.855049997575,44.85,23.5,31.115836789226147
120.0,43.749294765405125,10.878729760251558,38.72308610952871,7.669883634304607,39.52135688007242,13.116738841183762,40.34602770484022,12.298746175903087,47.31760146727825,11.87939606315168,49.74037554705386,8.649104133434761,53.20445381275278,11.018621400721646,25.505049997575,26.055049997575,26.25,27.905049997575,42.91009999515,44.855049997575,23.5,31.125676419353102
122.0,43.78165201343578,10.944165677969504,38.76097975075374,7.72258761891728,39.582331457211055,13.028062116679948,40.407159711079295,12.37634198837399,47.391335318862886,12.052858100089615,49.81615176093102,8.721181933743647,53.2873211666611,11.01868901579108,25.55,26.1,26.255049997575,27.955049997575,43.005049997575,44.905049997575,23.505049997575,31.135516049480053
124.0,43.88961628080093,10.79558691255642,38.813515919464486,7.684548458913968,39.649687365518474,13.1157952589455,40.46530712715754,12.307717089881224,47.47302417856949,11.99319044308036,49.88761988789504,8.703896494323189,53.369227503784735,11.009784090127155,25.55,26.105049997575,26.294950002425,28.005049997575,43.055049997575,44.955049997575,23.544950002425,31.145355679607007
126.0,44.04953142982973,10.86529240606534,38.8661823966691,7.797649773198391,39.71982907369508,13.069763653377892,40.5137299531601,12.314683515518306,47.548492079777525,12.004546877915343,49.963923121004235,8.699904077191972,53.447315523442946,11.041854639536409,25.555049997575,26.155049997575,26.255049997575,28.05,43.11009999515,45.01009999515,23.5,31.155195309733962
128.0,44.06545688167957,10.869173736584534,38.916004398750125,7.776923485701182,39.79284531965708,13.072073235549375,40.56998219305398,12.315795889049486,47.62246084992581,11.981366241463068,50.03350443811651,8.695615802271089,53.53168080381822,11.032254316592097,25.6,26.2,26.3,28.055049997575,43.205049997575,45.11009999515,23.5,31.165034939860913
130.0,44.06105494490597,10.951587217343846,38.969776043383874,7.733913720942082,39.85525750029379,13.123751631598047,40.61949974196418,12.34077814223988,47.69533895091766,11.894473922997015,50.10368490872877,8.7002797839081,53.60642305765566,11.05382315674175,25.6,26.194950002425,26.3,28.1,43.25,45.205049997575,23.5,31.174874569987868
132.0,44.19594371333103,10.935763132203158,39.0185316564433,7.737562117881022,39.91575042194883,13.15719167079928,40.66743444577171,12.349328730652408,47.76467208658499,11.974423471884036,50.17175375734233,8.670858897890534,53.6861495382625,11.038942459715352,25.6,26.15,26.3,28.1,43.26009999515,45.26009999515,23.5,31.184714200114822
134.0,44.123496703417224,10.818209286845162,39.06634210161896,7.747189495623964,39.98060083613538,13.188101989674657,40.721371094708495,12.315872306038054,47.83544033278216,11.956853579659944,50.24614430712885,8.788608003874934,53.76518705598802,11.03606728549605,25.6,26.15,26.3,28.1,43.35,45.36009999515,23.5,31.194553830241773
136.0,44.25373487316421,10.627855920110592,39.11785315686108,7.811315721339666,40.042512721264906,13.120642140123463,40.769910612647905,12.267447095455196,47.911332918035434,12.00279349456526,50.3098307545024,8.8034697129646,53.84414876503172,11.041191993550482,25.6,26.155049997575,26.305049997575,28.105049997575,43.36009999515,45.46009999515,23.5,31.204393460368728
138.0,44.21674897620563,10.764914734786167,39.16278948025733,7.686425744475627,40.106643403929745,13.120451160927278,40.82190185017576,12.3373768254978,47.977401847188865,11.92656849199533,50.384639047538805,8.659169893766,53.91889653300171,11.04888421865216,25.6,26.2,26.35,28.15,43.455049997575,45.555049997575,23.505049997575,31.21423309049568
140.0,44.407586033841106,10.957987950315855,39.20994769183741,7.72373898222465,40.17133375350161,13.182742310820984,40.87486602914039,12.321806023545564,48.04468172421362,12.021439237673718,50.453435373281515,8.75091290457678,53.999628769069766,11.05235158889558,25.6,26.205049997575,26.355049997575,28.15,43.51009999515,45.605049997575,23.544950002425,31.224072720622633
142.0,44.388315531556394,10.844462302632856,39.25052716233608,7.768146454926849,40.23000319143248,13.184445720830736,40.933178273834635,12.30781580168752,48.11306363247144,12.008471153306171,50.53190888853672,8.829892469399303,54.078079343978,11.007189468950315,25.605049997575,26.255049997575,26.4,28.155049997575,43.605049997575,45.655049997575,23.5,31.233912350749588
144.0,44.374756321285176,10.841001270214848,39.29630489846463,7.795871388069855,40.287281411883875,13.143718150584098,40.98494470151634,12.248475598330105,48.18196056292729,11.965682143838055,50.60034157419782,8.752061149727357,54.15326922149731,11.034824565842568,25.655049997575,26.305049997575,26.4,28.2,43.655049997575,45.705049997575,23.5,31.24375198087654
146.0,44.51986150157083,10.955577694898158,39.341104011065816,7.700159797928297,40.34971428324738,13.159312019110924,41.02870329825214,12.336364241411038,48.24510562793553,11.970335435337676,50.67271158291424,8.723325245366047,54.22606311818806,11.112194802391768,25.7,26.355049997575,26.4,28.2,43.705049997575,45.76009999515,23.505049997575,31.253591611003493
148.0,44.42796262549517,10.726306431073455,39.375488091806545,7.806901878594752,40.40982050929442,13.15921493497122,41.086980640171994,12.293409122972864,48.31405267922259,12.012757022697052,50.742842560660286,8.717900622847568,54.29952342065894,11.088520225007688,25.705049997575,26.4,26.4,28.2,43.755049997575,45.855049997575,23.55,31.263431241130448
150.0,44.616021268368904,10.900727745188734,39.41184061126348,7.766104418571112,40.467002932734665,13.120796820786422,41.13520363596692,12.306501294416773,48.375954026846834,12.120013447801188,50.819121211862736,8.702608852771897,54.37380387500299,11.120517834797658,25.75,26.405049997575,26.405049997575,28.2,43.81009999515,45.91009999515,23.55,31.2732708712574
152.0,44.511874451559734,10.85674386595835,39.452833419349425,7.736062848716707,40.523282372483855,13.237208716394653,41.186766442542144,12.317529607101394,48.44080788426121,12.090917800260495,50.89000088138808,8.724926898109073,54.44323678545829,11.109794158622584,25.75,26.455049997575,26.45,28.21009999515,43.905049997575,46.0,23.55,31.283110501384353
154.0,44.55178224007641,10.898233732650214,39.48764930556489,7.795382481594027,40.57873252164344,13.165601591872417,41.241179815341866,12.303578011608826,48.50421642682832,11.963148547881923,50.95776452303757,8.755054260252214,54.520854779280334,11.058500757505652,25.75,26.5,26.455049997575,28.3,43.96009999515,46.015149992725,23.555049997575,31.292950131511308
156.0,44.64418344345117,10.82915172615362,39.522641750612586,7.777746253319258,40.63506689318539,13.135199561583867,41.28487896215539,12.370232993595607,48.56753782369129,12.118588601641708,51.03184707668131,8.798628531597688,54.59286872972294,11.120517302463316,25.755049997575,26.505049997575,26.5,28.305049997575,44.055049997575,46.15,23.594950002425,31.30278976163826
158.0,44.62936105910161,10.95948450990305,39.55995115659408,7.766685765948083,40.69671899265329,13.163890077432956,41.33660297787687,12.369640653308409,48.631262830175096,12.049569778535917,51.09266016991506,8.844342601486213,54.66711036193934,11.125285079942737,25.805049997575,26.55,26.5,28.35,44.11009999515,46.155049997575,23.55,31.312629391765213
